Team,Form_Last5,AvgGoalsFor_Last5,AvgGoalsAgainst_Last5
Leeds,0.4,1.2,2.4
Burnley,1.0,1.6,1.8
Sheffield United,0.0,1.0,3.4
Luton,0.2,1.0,3.2
Man City,2.6,2.2,0.6
Wolves,3.0,2.2,0.6
Southampton,0.4,0.8,2.0
Bournemouth,1.2,1.0,1.0
Aston Villa,2.4,2.6,0.8
Fulham,1.2,1.4,1.6
Leicester,0.2,0.4,2.2
Ipswich,0.8,1.0,2.4
Arsenal,1.8,2.0,1.0
Everton,0.8,0.4,1.0
Liverpool,2.4,2.2,1.0
Tottenham,0.6,1.4,2.6
Chelsea,2.2,1.2,0.6
West Ham,0.4,1.2,1.8
Brighton,0.8,1.6,2.6
Man United,0.4,0.4,1.4
Newcastle,2.4,3.2,1.0
Brentford,1.6,1.6,1.0
Crystal Palace,1.0,1.2,2.6
Nott'm Forest,1.2,0.8,1.2
